Name,Category,Phone Number,Link,ID,AccountStatus,SubscriptionTypes,Uuid,SchemaVersion,ValidUseCases,SeoUrl,hasAccount
Adan's Landscape Maintenance,landscapers,+18313201379,https://porch.com/salinas-ca/landscapers/adans-landscape-maintenance-165714272/pp,51396723,USER_ACCOUNT,['PAYGO'],6c7ab5eb-b278-4806-aa16-7d3931e3ca97,1.39,"['CONNECTION_UI', 'PROFILE', 'SEARCH', 'EXTERNAL_PARTY', 'CONVERSATION']",adans-landscape-maintenance-165714272,True
YBARRA PROFESIONAL BUILDERS,general contractors,+18312957530,https://porch.com/riverside-ca/general-contractors/ybarra-profesional-builders/pp,51396745,USER_ACCOUNT,['PAYGO'],762bd881-59ce-4517-8651-b4873db0c38d,1.39,"['CONNECTION_UI', 'PROFILE', 'SEARCH', 'EXTERNAL_PARTY', 'CONVERSATION']",ybarra-profesional-builders,True
Guzman Pavers LLC,general contractors,+12066798050,https://porch.com/tacoma-wa/general-contractors/guzman-pavers-llc/pp,51396746,USER_ACCOUNT,['PAYGO'],db666ce6-1019-4faf-bac7-959b586d39b6,1.39,"['CONNECTION_UI', 'PROFILE', 'SEARCH', 'EXTERNAL_PARTY', 'CONVERSATION']",guzman-pavers-llc,True
WEDAFY,handymen,+17079808394,https://porch.com/vallejo-ca/handymen/wedafy/pp,51396806,USER_ACCOUNT,['PAYGO'],6d762955-277c-4899-bc73-3d5b6b5e65b6,1.39,"['CONNECTION_UI', 'PROFILE', 'SEARCH', 'EXTERNAL_PARTY', 'CONVERSATION']",wedafy,True
"ESS & GEE, LLC",gutter specialists,+13367285591,https://porch.com/lexington-nc/gutter-specialists/ess-and-gee-llc-165714359/pp,51396807,USER_ACCOUNT,"['VETTED_MEMBERSHIP', 'PAY_PER_LEAD']",bbb49f05-15fa-4809-a3f4-46026c240c7e,1.39,"['CONNECTION_UI', 'PROFILE', 'SEARCH', 'EXTERNAL_PARTY', 'CONVERSATION']",ess-and-gee-llc-165714359,True
Joseph Beideman,handymen,+12673515877,https://porch.com/philadelphia-pa/handymen/joseph-beideman/pp,51396815,NO_ACCOUNT,['PAYGO'],d8a510e4-17fb-476f-8fa7-015feb603242,1.39,"['CONNECTION_UI', 'PROFILE', 'SEARCH', 'EXTERNAL_PARTY', 'CONVERSATION']",joseph-beideman,False
Tony Carruthers,handymen,+17089010257,https://porch.com/chicago-il/handymen/tony-carruthers/pp,51396882,USER_ACCOUNT,['PAYGO'],18222512-907f-41d0-a345-074e2e1fa53a,1.39,"['CONNECTION_UI', 'PROFILE', 'SEARCH', 'EXTERNAL_PARTY', 'CONVERSATION']",tony-carruthers,True
Manuel DelValle,handymen,+12679794236,https://porch.com/philadelphia-pa/handymen/manuel-delvalle/pp,51396924,USER_ACCOUNT,['PAYGO'],be25f51c-9f83-4a9e-b785-ef8a84415faa,1.39,"['CONNECTION_UI', 'PROFILE', 'SEARCH', 'EXTERNAL_PARTY', 'CONVERSATION']",manuel-delvalle,True
Viking Professional Service East Los Angeles,appliance repair services,+18887344409,https://porch.com/los-angeles-ca/appliance-repair-services/viking-professional-service-east-los-angeles/pp,51396927,USER_ACCOUNT,['PAYGO'],be60ad0e-c557-40c7-8cdb-ea9b1db1018f,1.39,"['CONNECTION_UI', 'PROFILE', 'SEARCH', 'EXTERNAL_PARTY', 'CONVERSATION']",viking-professional-service-east-los-angeles,True
Viking Repair Squad Tucson,appliance repair services,+19292369734,https://porch.com/tucson-az/appliance-repair-services/viking-repair-squad-tucson/pp,51396929,USER_ACCOUNT,['PAYGO'],83907a29-7fa2-4db6-8115-572c12439b38,1.39,"['CONNECTION_UI', 'PROFILE', 'SEARCH', 'EXTERNAL_PARTY', 'CONVERSATION']",viking-repair-squad-tucson,True
Beaverton Pest Management Solutions,pest control contractors,+19712246723,https://porch.com/beaverton-or/pest-control-contractors/beaverton-pest-management-solutions/pp,51396930,USER_ACCOUNT,['PAYGO'],87d9b260-1ce3-4bcd-b93c-35cbafd85c98,1.39,"['CONNECTION_UI', 'PROFILE', 'SEARCH', 'EXTERNAL_PARTY', 'CONVERSATION']",beaverton-pest-management-solutions,True
Greenville Pest Control Management,plumbers,+18644287950,https://porch.com/greenville-sc/plumbers/greenville-pest-control-management/pp,51396932,USER_ACCOUNT,['PAYGO'],2581ad89-3014-47a7-8a9c-1bd3267e8b16,1.39,"['CONNECTION_UI', 'PROFILE', 'SEARCH', 'EXTERNAL_PARTY', 'CONVERSATION']",greenville-pest-control-management,True
San Pedro Termite Control,pest control contractors,+14248422559,https://porch.com/san-pedro-ca/pest-control-contractors/san-pedro-termite-control/pp,51396934,USER_ACCOUNT,['PAYGO'],c739325a-4ce6-4754-ac9d-2eaa8d540428,1.39,"['CONNECTION_UI', 'PROFILE', 'SEARCH', 'EXTERNAL_PARTY', 'CONVERSATION']",san-pedro-termite-control,True
Lake Michigan Painting and Remodeling LLC,general contractors,+16162793860,https://porch.com/grand-rapids-mi/general-contractors/lake-michigan-painting-and-remodeling-llc/pp,51396935,USER_ACCOUNT,['PAYGO'],eb14ecfd-1f76-4e82-a683-9b1347072180,1.39,"['CONNECTION_UI', 'PROFILE', 'SEARCH', 'EXTERNAL_PARTY', 'CONVERSATION']",lake-michigan-painting-and-remodeling-llc,True
Maryville Pest Control Team,pest control contractors,+18654019784,https://porch.com/maryville-tn/pest-control-contractors/maryville-pest-control-team/pp,51396937,USER_ACCOUNT,['PAYGO'],158a132e-bbd6-462c-a4c8-63c7ac78a285,1.39,"['CONNECTION_UI', 'PROFILE', 'SEARCH', 'EXTERNAL_PARTY', 'CONVERSATION']",maryville-pest-control-team,True
Nashville Pest Control Team,pest control contractors,+16154928834,https://porch.com/nashville-tn/pest-control-contractors/nashville-pest-control-team/pp,51396939,USER_ACCOUNT,['PAYGO'],2b45875b-7293-47d7-a43d-7c02393f12d9,1.39,"['CONNECTION_UI', 'PROFILE', 'SEARCH', 'EXTERNAL_PARTY', 'CONVERSATION']",nashville-pest-control-team,True
Pomona Termite Control Service,pest control contractors,+17149092698,https://porch.com/pomona-ca/pest-control-contractors/pomona-termite-control-service/pp,51396941,USER_ACCOUNT,['PAYGO'],9de4078f-354a-4c68-bcc3-3eaabbd76ec8,1.39,"['CONNECTION_UI', 'PROFILE', 'SEARCH', 'EXTERNAL_PARTY', 'CONVERSATION']",pomona-termite-control-service,True
